id,active_stations,total_stations,created_at,updated_at,last_update
40009,323,331,2014-04-16 13:50:05.638118,2014-04-16 13:50:05.638118,1397656203
40010,323,331,2014-04-16 14:00:05.482618,2014-04-16 14:00:05.482618,1397656755
40011,323,331,2014-04-16 14:10:05.106027,2014-04-16 14:10:05.106027,1397657352
40012,323,331,2014-04-16 14:20:04.752716,2014-04-16 14:20:04.752716,1397657954
40013,323,331,2014-04-16 14:30:05.683048,2014-04-16 14:30:05.683048,1397658552
40014,323,331,2014-04-16 14:40:05.344998,2014-04-16 14:40:05.344998,1397659148
40015,323,331,2014-04-16 14:50:05.018871,2014-04-16 14:50:05.018871,1397659756
40016,323,331,2014-04-16 15:00:04.966397,2014-04-16 15:00:04.966397,1397660355
40017,323,331,2014-04-16 15:10:05.551134,2014-04-16 15:10:05.551134,1397660953
40018,323,331,2014-04-16 15:20:05.142524,2014-04-16 15:20:05.142524,1397661551
40019,323,331,2014-04-16 15:30:04.631806,2014-04-16 15:30:04.631806,1397662148
40020,323,331,2014-04-16 15:40:05.291727,2014-04-16 15:40:05.291727,1397662754
40021,323,331,2014-04-16 15:50:05.069801,2014-04-16 15:50:05.069801,1397663357
40022,323,331,2014-04-16 16:00:04.803205,2014-04-16 16:00:04.803205,1397663962
40023,323,331,2014-04-16 16:10:05.536722,2014-04-16 16:10:05.536722,1397664551
40024,323,331,2014-04-16 16:20:05.182257,2014-04-16 16:20:05.182257,1397665148
40025,323,331,2014-04-16 16:30:04.77171,2014-04-16 16:30:04.77171,1397665754
40026,323,331,2014-04-16 16:40:05.418953,2014-04-16 16:40:05.418953,1397666357
40027,323,331,2014-04-16 16:50:05.15197,2014-04-16 16:50:05.15197,1397667003
40028,323,331,2014-04-16 17:00:05.144643,2014-04-16 17:00:05.144643,1397667555
40029,323,331,2014-04-16 17:10:04.674094,2014-04-16 17:10:04.674094,1397668152
40030,323,331,2014-04-16 17:20:05.27944,2014-04-16 17:20:05.27944,1397668758
40031,323,331,2014-04-16 17:30:04.774507,2014-04-16 17:30:04.774507,1397669355
40032,323,331,2014-04-16 17:40:05.662642,2014-04-16 17:40:05.662642,1397669960
40033,323,331,2014-04-16 17:50:05.565022,2014-04-16 17:50:05.565022,1397670555
40034,323,331,2014-04-16 18:00:05.304915,2014-04-16 18:00:05.304915,1397671161
40035,323,331,2014-04-16 18:10:07.70817,2014-04-16 18:10:07.70817,1397671804
