id,citibike_station_id,latitude,longitude,label,address,created_at,updated_at
1,72,40.76727216000000000000,-73.99392888000000000000,W 52 St & 11 Ave,"",2013-07-10 23:13:54.503501,2013-07-10 23:13:54.503501
2,79,40.71911552000000000000,-74.00666661000000000000,Franklin St & W Broadway,"",2013-07-10 23:13:54.624135,2013-07-10 23:13:54.624135
3,82,40.71117416000000000000,-74.00016545000000000000,St James Pl & Pearl St,"",2013-07-10 23:13:54.635235,2013-07-10 23:13:54.635235
4,83,40.68382604000000000000,-73.97632328000000000000,Atlantic Ave & Fort Greene Pl,"",2013-07-10 23:13:54.645718,2013-07-10 23:13:54.645718
5,116,40.74177603000000000000,-74.00149746000000000000,W 17 St & 8 Ave,"",2013-07-10 23:13:54.656274,2013-07-10 23:13:54.656274
6,119,40.69608941000000000000,-73.97803415000000000000,Park Ave & St Edwards St,"",2013-07-10 23:13:54.666529,2013-07-10 23:13:54.666529
7,120,40.68676793000000000000,-73.95928168000000000000,Lexington Ave & Classon Ave,"",2013-07-10 23:13:54.677124,2013-07-10 23:13:54.677124
8,127,40.73172428000000000000,-74.00674436000000000000,Barrow St & Hudson St,"",2013-07-10 23:13:54.687832,2013-07-10 23:13:54.687832
9,128,40.72710258000000000000,-74.00297088000001000000,MacDougal St & Prince St,"",2013-07-10 23:13:54.699296,2013-07-10 23:13:54.699296
10,137,40.71425541000000000000,-73.98130841000000000000,Henry St & Grand St,"",2013-07-10 23:13:54.709687,2013-07-10 23:13:54.709687
11,143,40.69239502000000000000,-73.99337909000000000000,Clinton St & Joralemon St,"",2013-07-10 23:13:54.720486,2013-07-10 23:13:54.720486
12,144,40.69839895000000000000,-73.98068914000000000000,Nassau St & Navy St,"",2013-07-10 23:13:54.731216,2013-07-10 23:13:54.731216
13,146,40.71625008000000000000,-74.00910589999999000000,Hudson St & Reade St,"",2013-07-10 23:13:54.741802,2013-07-10 23:13:54.741802
14,147,40.71542197000000000000,-74.01121978000000000000,Greenwich St & Warren St,"",2013-07-10 23:13:54.752358,2013-07-10 23:13:54.752358
15,150,40.72087360000000000000,-73.98085795000000000000,E 2 St & Avenue C,"",2013-07-10 23:13:54.786502,2013-07-10 23:13:54.786502
16,151,40.72181580000000000000,-73.99720307000000000000,Cleveland Pl & Spring St,"",2013-07-10 23:13:54.797724,2013-07-10 23:13:54.797724
17,152,40.71473993000000000000,-74.00910627000000000000,Warren St & Church St,"",2013-07-10 23:13:54.834356,2013-07-10 23:13:54.834356
18,153,40.75206230700000000000,-73.98163240430000000000,E 40 St & 5 Ave,"",2013-07-10 23:13:54.846325,2013-07-10 23:13:54.846325
19,157,40.69089272000000000000,-73.99612349000000000000,Henry St & Atlantic Ave,"",2013-07-10 23:13:54.881035,2013-07-10 23:13:54.881035
20,160,40.74830600000000000000,-73.97804499999999000000,E 37 St & Lexington Ave,"",2013-07-10 23:13:54.892337,2013-07-10 23:13:54.892337
21,161,40.72917025000000000000,-73.99810230999999000000,LaGuardia Pl & W 3 St,"",2013-07-10 23:13:54.904084,2013-07-10 23:13:54.904084
22,164,40.75323098000000000000,-73.97032517000000000000,E 47 St & 2 Ave,"",2013-07-10 23:13:54.933381,2013-07-10 23:13:54.933381
23,167,40.74890060000000000000,-73.97604882000000000000,E 39 St & 3 Av,"",2013-07-10 23:13:54.945129,2013-07-10 23:13:54.945129
24,168,40.73971301000000000000,-73.99456404999999000000,W 18 St & 6 Av,"",2013-07-10 23:13:54.959677,2013-07-10 23:13:54.959677
25,173,40.76064679000000000000,-73.98442659000000000000,Broadway & W 49 St,"",2013-07-10 23:13:54.970996,2013-07-10 23:13:54.970996
26,174,40.73817650000000000000,-73.97738662000000000000,E 25 St & 1 Ave,"",2013-07-10 23:13:54.983639,2013-07-10 23:13:54.983639
27,195,40.70905623000000000000,-74.01043382000000000000,Liberty St & Broadway,"",2013-07-10 23:13:54.997045,2013-07-10 23:13:54.997045
28,212,40.74334935000000000000,-74.00681753000001000000,W 16 St & The High Line,"",2013-07-10 23:13:55.009708,2013-07-10 23:13:55.009708
29,216,40.70037867000000000000,-73.99548059000000000000,Columbia Heights & Cranberry St,"",2013-07-10 23:13:55.022194,2013-07-10 23:13:55.022194
30,217,40.70277159000000000000,-73.99383605000000000000,Old Fulton St,"",2013-07-10 23:13:55.033664,2013-07-10 23:13:55.033664
31,218,40.69028437000000000000,-73.98707105000000000000,Gallatin Pl & Livingston St,"",2013-07-10 23:13:55.044602,2013-07-10 23:13:55.044602
32,223,40.73781509000000000000,-73.99994660999999000000,W 13 St & 7 Ave,"",2013-07-10 23:13:55.081832,2013-07-10 23:13:55.081832
33,224,40.71146364000000000000,-74.00552427000000000000,Spruce St & Nassau St,"",2013-07-10 23:13:55.092984,2013-07-10 23:13:55.092984
34,225,40.74195138000000000000,-74.00803012999999000000,W 14 St & The High Line,"",2013-07-10 23:13:55.103822,2013-07-10 23:13:55.103822
35,228,40.75460110260000000000,-73.97187885500000000000,E 48 St & 3 Ave,"",2013-07-10 23:13:55.115854,2013-07-10 23:13:55.115854
36,229,40.72743423000000000000,-73.99379025000000000000,Great Jones St,"",2013-07-10 23:13:55.127995,2013-07-10 23:13:55.127995
37,232,40.69597683000000000000,-73.99014892000000000000,Cadman Plaza E & Tillary St,"",2013-07-10 23:13:55.139308,2013-07-10 23:13:55.139308
38,233,40.69246277000000000000,-73.98963911000000000000,Joralemon St & Adams St,"",2013-07-10 23:13:55.151826,2013-07-10 23:13:55.151826
39,236,40.72841860000000000000,-73.98713956000000000000,St Marks Pl & 2 Ave,"",2013-07-10 23:13:55.162466,2013-07-10 23:13:55.162466
40,237,40.73047309000000000000,-73.98672378000001000000,E 11 Street & 2 Avenue,"",2013-07-10 23:13:55.173369,2013-07-10 23:13:55.173369
41,238,40.73619670000000000000,-74.00859207000001000000,Bank St & Washington St,"",2013-07-10 23:13:55.184202,2013-07-10 23:13:55.184202
42,239,40.69196566000000000000,-73.98130180000000000000,Wiloughby St & Fleet St,"",2013-07-10 23:13:55.195166,2013-07-10 23:13:55.195166
43,241,40.68981035000000000000,-73.97493120999999000000,DeKalb Ave & S Portland Ave,"",2013-07-10 23:13:55.206156,2013-07-10 23:13:55.206156
44,242,40.69788349000000000000,-73.97350332000001000000,Flushing Ave & Carlton Ave,"",2013-07-10 23:13:55.246978,2013-07-10 23:13:55.246978
45,243,40.68866384000000000000,-73.98051836000000000000,Flatbush Ave & Fulton St,"",2013-07-10 23:13:55.257902,2013-07-10 23:13:55.257902
46,244,40.69196035000000000000,-73.96536851000000000000,Willoughby Ave & Hall St,"",2013-07-10 23:13:55.271107,2013-07-10 23:13:55.271107
47,245,40.69327018000000000000,-73.97703874000000000000,Myrtle Ave & St Edwards St,"",2013-07-10 23:13:55.281697,2013-07-10 23:13:55.281697
48,247,40.73535398000000000000,-74.00483091000000000000,Perry St & Bleecker St,"",2013-07-10 23:13:55.292533,2013-07-10 23:13:55.292533
49,248,40.72185379000000000000,-74.00771779000000000000,Laight St & Hudson St,"",2013-07-10 23:13:55.303023,2013-07-10 23:13:55.303023
50,249,40.71870987000000000000,-74.00900090000000000000,Harrison St & Hudson St,"",2013-07-10 23:13:55.313411,2013-07-10 23:13:55.313411
51,250,40.72456089000000000000,-73.99565293000001000000,Lafayette St & Jersey St,"",2013-07-10 23:13:55.32382,2013-07-10 23:13:55.32382
52,251,40.72317958000000000000,-73.99480011999999000000,Mott St & Prince St,"",2013-07-10 23:13:55.334159,2013-07-10 23:13:55.334159
53,252,40.73226398000000000000,-73.99852205000001000000,MacDougal St & Washington Sq,"",2013-07-10 23:13:55.345592,2013-07-10 23:13:55.345592
54,253,40.73543934000000000000,-73.99453948000000000000,W 13 St & 5 Ave,"",2013-07-10 23:13:55.356155,2013-07-10 23:13:55.356155
55,254,40.73532427000000000000,-73.99800419000000000000,W 11 St & 6 Ave,"",2013-07-10 23:13:55.366776,2013-07-10 23:13:55.366776
56,257,40.71939226000000000000,-74.00247213999999000000,Lispenard St & Broadway,"",2013-07-10 23:13:55.378306,2013-07-10 23:13:55.378306
57,258,40.68940747000000000000,-73.96885458000000000000,DeKalb Ave & Vanderbilt Ave,"",2013-07-10 23:13:55.388643,2013-07-10 23:13:55.388643
58,259,40.70122128000000000000,-74.01234218000000000000,South St & Whitehall St,"",2013-07-10 23:13:55.399452,2013-07-10 23:13:55.399452
59,260,40.70365182000000000000,-74.01167796999999000000,Broad St & Bridge St,"",2013-07-10 23:13:55.410772,2013-07-10 23:13:55.410772
60,261,40.69474881000000000000,-73.98362464000000000000,Johnson St & Gold St,"",2013-07-10 23:13:55.439944,2013-07-10 23:13:55.439944
61,262,40.69178232000000000000,-73.97372989000000000000,Washington Park,"",2013-07-10 23:13:55.451549,2013-07-10 23:13:55.451549
62,263,40.71729000000000000000,-73.99637500000000000000,Elizabeth St & Hester St,"",2013-07-10 23:13:55.462587,2013-07-10 23:13:55.462587
63,264,40.70706456000000000000,-74.00731853000001000000,Maiden Ln & Pearl St,"",2013-07-10 23:13:55.491921,2013-07-10 23:13:55.491921
64,265,40.72229346000000000000,-73.99147535000000000000,Stanton St & Chrystie St,"",2013-07-10 23:13:55.503453,2013-07-10 23:13:55.503453
65,266,40.72368361000000000000,-73.97574813000000000000,Avenue D & E 8 St,"",2013-07-10 23:13:55.514353,2013-07-10 23:13:55.514353
66,267,40.75097711000000000000,-73.98765428000000000000,Broadway & W 36 St,"",2013-07-10 23:13:55.545006,2013-07-10 23:13:55.545006
67,268,40.71910537000000000000,-73.99973337000000000000,Howard St & Centre St,"",2013-07-10 23:13:55.555649,2013-07-10 23:13:55.555649
68,270,40.69308257000000000000,-73.97178913000000000000,Adelphi St & Myrtle Ave,"",2013-07-10 23:13:55.566647,2013-07-10 23:13:55.566647
69,271,40.68528172000000000000,-73.97805812999999000000,Ashland Pl & Hanson Pl,"",2013-07-10 23:13:55.577258,2013-07-10 23:13:55.577258
70,274,40.68691865000000000000,-73.97668200000000000000,Lafayette Ave & Fort Greene Pl,"",2013-07-10 23:13:55.587586,2013-07-10 23:13:55.587586
71,275,40.68650065000000000000,-73.96563307000000000000,Washington Ave & Greene Ave,"",2013-07-10 23:13:55.597966,2013-07-10 23:13:55.597966
72,276,40.71748752000000000000,-74.01045540000000000000,Duane St & Greenwich St,"",2013-07-10 23:13:55.608714,2013-07-10 23:13:55.608714
73,278,40.69766564000000000000,-73.98476436999999000000,Concord St & Bridge St,"",2013-07-10 23:13:55.619537,2013-07-10 23:13:55.619537
74,279,40.69986937000000000000,-73.98271932999999000000,Sands St & Gold St,"",2013-07-10 23:13:55.630147,2013-07-10 23:13:55.630147
75,280,40.73331967000000000000,-73.99510132000000000000,E 10 St & 5 Ave,"",2013-07-10 23:13:55.643228,2013-07-10 23:13:55.643228
76,281,40.76439710000000000000,-73.97371465000001000000,Grand Army Plaza & Central Park S,"",2013-07-10 23:13:55.653628,2013-07-10 23:13:55.653628
77,282,40.70827295000000000000,-73.96834101000000000000,Kent Ave & S 11 St,"",2013-07-10 23:13:55.664123,2013-07-10 23:13:55.664123
78,284,40.73901691210000000000,-74.00263761030000000000,Greenwich Ave & 8 Ave,"",2013-07-10 23:13:55.674633,2013-07-10 23:13:55.674633
